'07/04/2021 16:47:17.710707', '70196', '67397', '1840'
'07/04/2021 16:47:17.715498', '70208', '67398', '1821'
'07/04/2021 16:47:17.720581', '70216', '67406', '1847'
'07/04/2021 16:47:17.725669', '70239', '67413', '1868'
'07/04/2021 16:47:17.730343', '70264', '67425', '1837'
'07/04/2021 16:47:17.735437', '70296', '67439', '1814'
'07/04/2021 16:47:17.740571', '70327', '67449', '1859'
'07/04/2021 16:47:17.746532', '70352', '67463', '1889'
'07/04/2021 16:47:17.750452', '70377', '67474', '1838'
'07/04/2021 16:47:17.755515', '70407', '67481', '1814'
'07/04/2021 16:47:17.761091', '70431', '67488', '1858'
'07/04/2021 16:47:17.765484', '70449', '67501', '1871'
'07/04/2021 16:47:17.770483', '70465', '67503', '1842'
'07/04/2021 16:47:17.775589', '70484', '67512', '1827'
'07/04/2021 16:47:17.780682', '70499', '67518', '1872'
'07/04/2021 16:47:17.785396', '70506', '67519', '1898'
'07/04/2021 16:47:17.790486', '70516', '67531', '1859'
'07/04/2021 16:47:17.795604', '70519', '67529', '1856'
'07/04/2021 16:47:17.800693', '70524', '67530', '1872'
'07/04/2021 16:47:17.805421', '70522', '67531', '1888'
'07/04/2021 16:47:17.810510', '70523', '67540', '1846'
'07/04/2021 16:47:17.815635', '70511', '67521', '1823'
'07/04/2021 16:47:17.820722', '70516', '67519', '1867'
'07/04/2021 16:47:17.825454', '70544', '67534', '1893'
'07/04/2021 16:47:17.830549', '70580', '67552', '1842'
'07/04/2021 16:47:17.835388', '70607', '67556', '1841'
'07/04/2021 16:47:17.840487', '70628', '67563', '1861'
'07/04/2021 16:47:17.845531', '70647', '67569', '1879'
'07/04/2021 16:47:17.852315', '70662', '67570', '1811'
'07/04/2021 16:47:17.855458', '70681', '67569', '1818'
'07/04/2021 16:47:17.860433', '70691', '67571', '1875'
'07/04/2021 16:47:17.865535', '70707', '67567', '1883'
'07/04/2021 16:47:17.870642', '70715', '67564', '1840'
'07/04/2021 16:47:17.875739', '70708', '67559', '1827'
'07/04/2021 16:47:17.880417', '70682', '67547', '1862'
'07/04/2021 16:47:17.885523', '70649', '67532', '1881'
'07/04/2021 16:47:17.890641', '70608', '67509', '1834'
'07/04/2021 16:47:17.895745', '70539', '67480', '1823'
'07/04/2021 16:47:17.900864', '70458', '67453', '1870'
'07/04/2021 16:47:17.905546', '70358', '67415', '1878'
'07/04/2021 16:47:17.910447', '70261', '67375', '1834'
'07/04/2021 16:47:17.915577', '70148', '67325', '1821'
'07/04/2021 16:47:17.920536', '70013', '67278', '1857'
'07/04/2021 16:47:17.925662', '69888', '67221', '1883'
'07/04/2021 16:47:17.930782', '69761', '67164', '1840'
'07/04/2021 16:47:17.935606', '69623', '67112', '1821'
'07/04/2021 16:47:17.940723', '69505', '67062', '1861'
'07/04/2021 16:47:17.946562', '69402', '67020', '1872'
'07/04/2021 16:47:17.951951', '69294', '66981', '1823'
'07/04/2021 16:47:17.955791', '69214', '66943', '1833'
'07/04/2021 16:47:17.960788', '69134', '66908', '1866'
'07/04/2021 16:47:17.965620', '69059', '66873', '1886'
'07/04/2021 16:47:17.970690', '68991', '66838', '1839'
'07/04/2021 16:47:17.975747', '68962', '66819', '1824'
'07/04/2021 16:47:17.980846', '68933', '66805', '1878'
'07/04/2021 16:47:17.985520', '68913', '66793', '1889'
'07/04/2021 16:47:17.990627', '68918', '66791', '1836'
'07/04/2021 16:47:17.995694', '68931', '66788', '1813'
'07/04/2021 16:47:18.000784', '68943', '66782', '1870'
'07/04/2021 16:47:18.005875', '68958', '66787', '1886'
'07/04/2021 16:47:18.010566', '68988', '66795', '1830'
'07/04/2021 16:47:18.016056', '69026', '66804', '1818'
'07/04/2021 16:47:18.020753', '69064', '66810', '1859'
'07/04/2021 16:47:18.025554', '69106', '66826', '1893'
'07/04/2021 16:47:18.030668', '69140', '66832', '1857'
'07/04/2021 16:47:18.035796', '69201', '66849', '1826'
'07/04/2021 16:47:18.040890', '69250', '66865', '1874'
'07/04/2021 16:47:18.045627', '69301', '66886', '1886'
'07/04/2021 16:47:18.050957', '69375', '66909', '1825'
'07/04/2021 16:47:18.055667', '69444', '66930', '1825'
'07/04/2021 16:47:18.060772', '69513', '66956', '1879'
'07/04/2021 16:47:18.065879', '69595', '66985', '1894'
'07/04/2021 16:47:18.070613', '69653', '67013', '1840'
'07/04/2021 16:47:18.075721', '69724', '67037', '1817'
'07/04/2021 16:47:18.080847', '69804', '67070', '1871'
'07/04/2021 16:47:18.085957', '69875', '67091', '1894'
'07/04/2021 16:47:18.090684', '69933', '67119', '1853'
'07/04/2021 16:47:18.095902', '70003', '67143', '1837'
'07/04/2021 16:47:18.100650', '70071', '67165', '1872'
'07/04/2021 16:47:18.105749', '70122', '67190', '1899'
'07/04/2021 16:47:18.110875', '70176', '67210', '1851'
'07/04/2021 16:47:18.115622', '70233', '67229', '1828'
'07/04/2021 16:47:18.120726', '70271', '67248', '1866'
'07/04/2021 16:47:18.125859', '70324', '67263', '1885'
'07/04/2021 16:47:18.130993', '70374', '67275', '1841'
'07/04/2021 16:47:18.135727', '70400', '67290', '1815'
'07/04/2021 16:47:18.140862', '70440', '67304', '1855'
'07/04/2021 16:47:18.146006', '70475', '67318', '1894'
'07/04/2021 16:47:18.151091', '70500', '67331', '1840'
'07/04/2021 16:47:18.156706', '70531', '67341', '1841'
'07/04/2021 16:47:18.160671', '70562', '67349', '1872'
'07/04/2021 16:47:18.165829', '70593', '67361', '1898'
'07/04/2021 16:47:18.170958', '70616', '67370', '1846'
'07/04/2021 16:47:18.175706', '70643', '67371', '1830'
