'07/04/2021 21:36:29.017651', '15670', '19853', '2175'
'07/04/2021 21:36:29.022893', '17636', '22305', '2032'
'07/04/2021 21:36:29.027584', '20206', '25468', '1527'
'07/04/2021 21:36:29.032668', '23508', '29446', '1627'
'07/04/2021 21:36:29.037764', '27653', '34267', '2191'
'07/04/2021 21:36:29.042445', '32359', '39463', '2106'
'07/04/2021 21:36:29.047551', '36940', '44095', '1543'
'07/04/2021 21:36:29.052628', '40403', '47143', '1621'
'07/04/2021 21:36:29.057750', '42298', '48493', '2179'
'07/04/2021 21:36:29.062826', '43173', '49040', '2045'
'07/04/2021 21:36:29.067649', '43606', '49085', '1531'
'07/04/2021 21:36:29.073204', '43842', '49298', '1715'
'07/04/2021 21:36:29.077619', '43998', '49502', '2176'
'07/04/2021 21:36:29.082620', '44048', '49535', '2089'
'07/04/2021 21:36:29.087768', '44056', '49404', '1531'
'07/04/2021 21:36:29.092479', '44048', '49143', '1622'
'07/04/2021 21:36:29.097580', '44300', '49057', '2167'
'07/04/2021 21:36:29.102597', '44559', '48927', '2074'
'07/04/2021 21:36:29.107802', '44875', '48847', '1518'
'07/04/2021 21:36:29.112540', '45306', '48860', '1630'
'07/04/2021 21:36:29.117656', '45874', '48961', '2166'
'07/04/2021 21:36:29.122770', '46643', '49270', '2034'
'07/04/2021 21:36:29.127509', '47380', '49603', '1549'
'07/04/2021 21:36:29.132606', '48124', '50033', '1635'
'07/04/2021 21:36:29.137750', '48992', '50593', '2186'
'07/04/2021 21:36:29.142464', '49696', '51223', '2101'
'07/04/2021 21:36:29.147581', '50701', '51983', '1547'
'07/04/2021 21:36:29.152723', '51779', '52829', '1648'
'07/04/2021 21:36:29.157834', '52776', '53624', '2185'
'07/04/2021 21:36:29.162565', '53688', '54367', '2070'
'07/04/2021 21:36:29.167717', '54635', '55134', '1525'
'07/04/2021 21:36:29.172826', '55586', '55883', '1670'
'07/04/2021 21:36:29.177573', '56524', '56606', '2166'
'07/04/2021 21:36:29.182801', '57425', '57265', '2041'
'07/04/2021 21:36:29.187567', '58286', '57864', '1557'
'07/04/2021 21:36:29.192721', '59073', '58408', '1666'
'07/04/2021 21:36:29.197842', '59861', '58917', '2193'
'07/04/2021 21:36:29.202579', '60610', '59401', '2069'
'07/04/2021 21:36:29.207591', '61324', '59845', '1530'
'07/04/2021 21:36:29.214183', '61969', '60233', '1840'
'07/04/2021 21:36:29.217584', '62541', '60555', '2176'
'07/04/2021 21:36:29.222538', '63028', '60830', '2081'
'07/04/2021 21:36:29.227665', '63460', '61057', '1546'
'07/04/2021 21:36:29.232791', '63806', '61250', '1679'
'07/04/2021 21:36:29.237913', '64092', '61402', '2196'
'07/04/2021 21:36:29.242605', '64309', '61530', '2064'
'07/04/2021 21:36:29.247731', '64475', '61620', '1535'
'07/04/2021 21:36:29.252856', '64579', '61670', '1690'
'07/04/2021 21:36:29.257551', '64628', '61707', '2160'
'07/04/2021 21:36:29.262675', '64659', '61735', '2035'
'07/04/2021 21:36:29.267661', '64676', '61752', '1511'
'07/04/2021 21:36:29.272834', '64678', '61769', '1683'
'07/04/2021 21:36:29.277560', '64676', '61784', '2160'
'07/04/2021 21:36:29.282631', '64666', '61787', '2045'
'07/04/2021 21:36:29.287753', '64671', '61791', '1514'
'07/04/2021 21:36:29.292818', '64658', '61785', '1663'
'07/04/2021 21:36:29.297540', '64638', '61770', '2158'
'07/04/2021 21:36:29.302618', '64618', '61763', '2062'
'07/04/2021 21:36:29.307943', '64612', '61754', '1493'
'07/04/2021 21:36:29.313050', '64600', '61746', '1686'
'07/04/2021 21:36:29.317816', '64592', '61738', '2183'
'07/04/2021 21:36:29.322726', '64598', '61733', '2057'
'07/04/2021 21:36:29.327715', '64589', '61732', '1533'
'07/04/2021 21:36:29.332805', '64589', '61725', '1658'
'07/04/2021 21:36:29.337943', '64583', '61718', '2196'
'07/04/2021 21:36:29.342645', '64575', '61711', '2065'
'07/04/2021 21:36:29.347766', '64589', '61716', '1515'
'07/04/2021 21:36:29.352870', '64598', '61708', '1671'
'07/04/2021 21:36:29.357581', '64611', '61716', '2166'
'07/04/2021 21:36:29.362702', '64634', '61727', '2064'
'07/04/2021 21:36:29.367860', '64672', '61743', '1511'
'07/04/2021 21:36:29.372579', '64701', '61749', '1635'
'07/04/2021 21:36:29.377729', '64737', '61761', '2182'
'07/04/2021 21:36:29.382826', '64789', '61780', '2046'
'07/04/2021 21:36:29.387973', '64837', '61801', '1488'
'07/04/2021 21:36:29.392713', '64882', '61817', '1642'
'07/04/2021 21:36:29.397818', '64931', '61841', '2189'
'07/04/2021 21:36:29.402961', '64985', '61861', '2029'
'07/04/2021 21:36:29.407704', '65050', '61892', '1529'
'07/04/2021 21:36:29.412982', '65111', '61917', '1691'
'07/04/2021 21:36:29.417620', '65186', '61949', '2176'
'07/04/2021 21:36:29.422762', '65250', '61973', '2036'
'07/04/2021 21:36:29.427911', '65320', '61997', '1494'
'07/04/2021 21:36:29.432695', '65372', '62022', '1657'
'07/04/2021 21:36:29.437811', '65421', '62046', '2194'
'07/04/2021 21:36:29.442962', '65469', '62067', '2023'
'07/04/2021 21:36:29.447728', '65508', '62086', '1520'
'07/04/2021 21:36:29.452854', '65396', '62097', '1675'
'07/04/2021 21:36:29.457655', '65291', '62113', '2174'
'07/04/2021 21:36:29.462908', '65308', '62124', '2017'
'07/04/2021 21:36:29.467651', '65343', '62132', '1526'
'07/04/2021 21:36:29.472783', '65362', '62143', '1664'
'07/04/2021 21:36:29.477965', '65389', '62146', '2204'
'07/04/2021 21:36:29.482736', '65412', '62156', '2034'
'07/04/2021 21:36:29.487900', '65429', '62165', '1486'
'07/04/2021 21:36:29.492646', '65454', '62164', '1642'
'07/04/2021 21:36:29.497788', '65471', '62173', '2185'
'07/04/2021 21:36:29.502963', '65494', '62184', '2002'
'07/04/2021 21:36:29.507750', '65524', '62187', '1510'
'07/04/2021 21:36:29.512866', '65526', '62188', '1679'
'07/04/2021 21:36:29.520803', '65560', '62204', '2228'
'07/04/2021 21:36:29.522845', '65566', '62212', '2017'
'07/04/2021 21:36:29.528131', '65583', '62212', '1470'
'07/04/2021 21:36:29.533006', '65587', '62214', '1692'
'07/04/2021 21:36:29.537652', '65593', '62212', '2179'
'07/04/2021 21:36:29.542717', '65592', '62211', '2034'
'07/04/2021 21:36:29.547793', '65604', '62213', '1495'
'07/04/2021 21:36:29.552867', '65600', '62209', '1677'
'07/04/2021 21:36:29.557942', '65604', '62211', '2192'
'07/04/2021 21:36:29.563016', '65596', '62211', '1993'
