'20/04/2021 23:56:39.159316', '72319', '69374', '1802'
'20/04/2021 23:56:39.160734', '72326', '69383', '1840'
'20/04/2021 23:56:39.161857', '72342', '69382', '1872'
'20/04/2021 23:56:39.162586', '72361', '69401', '1894'
'20/04/2021 23:56:39.163313', '72362', '69391', '1915'
'20/04/2021 23:56:39.164423', '72378', '69394', '1940'
'20/04/2021 23:56:39.167132', '72386', '69403', '1955'
'20/04/2021 23:56:39.169430', '72399', '69418', '1918'
'20/04/2021 23:56:39.172138', '72417', '69420', '1837'
'20/04/2021 23:56:39.174439', '72441', '69423', '1791'
'20/04/2021 23:56:39.177145', '72452', '69431', '1779'
'20/04/2021 23:56:39.179457', '72464', '69444', '1825'
'20/04/2021 23:56:39.182158', '72492', '69449', '1893'
'20/04/2021 23:56:39.184481', '72505', '69446', '1945'
'20/04/2021 23:56:39.186796', '72522', '69449', '1946'
'20/04/2021 23:56:39.189515', '72538', '69458', '1888'
'20/04/2021 23:56:39.191833', '72562', '69461', '1826'
'20/04/2021 23:56:39.194549', '72574', '69470', '1762'
'20/04/2021 23:56:39.196882', '72597', '69486', '1764'
'20/04/2021 23:56:39.199589', '72617', '69495', '1876'
'20/04/2021 23:56:39.201917', '72622', '69498', '1872'
'20/04/2021 23:56:39.204239', '72636', '69507', '1930'
'20/04/2021 23:56:39.207072', '72657', '69498', '1933'
'20/04/2021 23:56:39.209394', '72674', '69513', '1892'
'20/04/2021 23:56:39.212137', '72694', '69518', '1838'
'20/04/2021 23:56:39.214487', '72700', '69521', '1781'
'20/04/2021 23:56:39.216824', '72722', '69533', '1785'
'20/04/2021 23:56:39.219550', '72739', '69539', '1835'
'20/04/2021 23:56:39.221893', '72745', '69549', '1893'
'20/04/2021 23:56:39.224227', '72764', '69538', '1946'
'20/04/2021 23:56:39.226959', '72770', '69541', '1945'
'20/04/2021 23:56:39.229312', '72787', '69547', '1904'
'20/04/2021 23:56:39.232051', '72791', '69557', '1842'
'20/04/2021 23:56:39.234388', '72804', '69568', '1797'
'20/04/2021 23:56:39.236739', '72801', '69562', '1791'
'20/04/2021 23:56:39.239194', '72803', '69560', '1836'
'20/04/2021 23:56:39.241933', '72792', '69547', '1898'
'20/04/2021 23:56:39.244299', '72783', '69534', '1945'
'20/04/2021 23:56:39.247349', '72761', '69534', '1929'
'20/04/2021 23:56:39.249317', '72735', '69520', '1899'
'20/04/2021 23:56:39.252911', '72713', '69504', '1808'
'20/04/2021 23:56:39.254154', '72683', '69486', '1786'
'20/04/2021 23:56:39.256906', '72652', '69472', '1791'
'20/04/2021 23:56:39.259274', '72620', '69456', '1829'
'20/04/2021 23:56:39.262022', '72572', '69434', '1893'
'20/04/2021 23:56:39.264375', '72534', '69415', '1938'
'20/04/2021 23:56:39.266748', '72494', '69384', '1937'
'20/04/2021 23:56:39.269514', '72452', '69359', '1889'
